xValue,yValue
0.101419449,0.529124477
0.113991737,0.534621874
0.126167774,0.529124477
0.138205051,0.52362708
0.150378227,0.519504032
0.162518024,0.520878381
0.174618483,0.52362708
0.186639547,0.527750128
0.198699236,0.534621874
0.210835218,0.538744922
0.22290659,0.535996224
0.23497963,0.529124477
0.247029543,0.525001429
0.259047031,0.52362708
0.271257639,0.52362708
0.283341646,0.52362708
0.295391083,0.527750128
0.307459116,0.529124477
0.319466829,0.525001429
0.33159852,0.52362708
0.343666792,0.520878381
0.355702639,0.520878381
0.367747068,0.519504032
0.379835129,0.520878381
0.391968489,0.52362708
0.403984547,0.520878381
0.416058779,0.520878381
0.428141117,0.516755333
0.440166712,0.516755333
0.452313185,0.515380984
0.464390516,0.515380984
0.476420164,0.516755333
0.488440037,0.515380984
0.500623941,0.516755333
0.512716293,0.516755333
0.524728298,0.515380984
0.536788225,0.515380984
0.54884553,0.516755333
0.560941219,0.520878381
0.572962523,0.519504032
0.585021734,0.520878381
0.59704566,0.52362708
0.609107256,0.52362708
0.621241331,0.520878381
0.633270502,0.520878381
0.645305395,0.52362708
0.657361507,0.525001429
0.669369936,0.525001429
0.681483507,0.527750128
0.693538189,0.527750128
0.705583811,0.529124477
0.717666388,0.529124477
0.729734659,0.529124477
0.741837025,0.529124477
0.753857613,0.527750128
0.765908957,0.525001429
0.777942181,0.525001429
0.789955616,0.52362708
0.802126646,0.525001429
0.814173698,0.529124477
0.826301336,0.527750128
0.838348389,0.525001429
0.850419521,0.525001429
0.862528324,0.529124477
0.874541998,0.531873176
0.88661027,0.531873176
0.898660183,0.534621874
0.910753965,0.529124477
0.922841311,0.527750128
0.935105324,0.527750128
0.947530746,0.527750128
0.959926367,0.527750128
0.972409725,0.527750128
0.984768152,0.531873176
0.997132063,0.529124477
1.009506226,0.531873176
1.021878004,0.531873176
1.034246922,0.529124477
1.046616793,0.529124477
1.059031725,0.531873176
1.07150507,0.534621874
1.083891869,0.534621874
1.096472025,0.529124477
1.108859062,0.529124477
1.121306658,0.527750128
1.133671761,0.531873176
1.146026134,0.534621874
1.15837431,0.534621874
1.17088294,0.529124477
1.18322444,0.52362708
1.195598364,0.525001429
1.208009481,0.527750128
1.220367432,0.527750128
1.232841969,0.527750128
1.245239258,0.527750128
1.257621527,0.531873176
1.269975424,0.527750128
1.282490015,0.527750128
1.294874907,0.529124477
1.30724144,0.527750128
1.319729805,0.525001429
1.332267284,0.525001429
1.344697952,0.52362708
1.357107878,0.527750128
1.369491577,0.525001429
1.381867647,0.527750128
1.394231796,0.527750128
1.406621218,0.529124477
1.419015408,0.529124477
1.431504488,0.527750128
1.443894386,0.527750128
1.456266165,0.527750128
1.468653679,0.527750128
1.481130838,0.527750128
1.493472576,0.525001429
1.50579977,0.527750128
1.518171549,0.527750128
1.530631304,0.525001429
1.543054581,0.525001429
1.555455685,0.525001429
1.567828894,0.525001429
1.580291033,0.525001429
1.592835426,0.52362708
1.605217934,0.52362708
1.617587328,0.52362708
1.629954815,0.520878381
1.642396212,0.520878381
1.654762268,0.520878381
1.667141438,0.52362708
1.679530382,0.520878381
1.692028761,0.516755333
1.704402208,0.519504032
1.716748714,0.520878381
1.729132652,0.52362708
1.741692066,0.529124477
1.754377842,0.527750128
1.766892672,0.52362708
1.779343605,0.519504032
1.791944742,0.519504032
1.804434776,0.520878381
1.81695199,0.525001429
1.829384089,0.525001429
1.841858149,0.525001429
